model,strategy,corruption,mean_gap,max_gap,mean_achieved,min_achieved
baseline,global_thr,blur,0.6041666666666666,0.95,0.2333333333333333,0.0
baseline,grouped_thr,blur,0.6079166666666667,0.95,0.22958333333333333,0.0
laweighted_v1,global_thr,blur,0.50625,0.9149999999999999,0.33125,0.015
laweighted_v1,grouped_thr,blur,0.51625,0.9249999999999999,0.32125,0.0
baseline,global_thr,contrast,0.18625,0.38499999999999995,0.65125,0.315
baseline,grouped_thr,contrast,0.1875,0.38499999999999995,0.65,0.315
laweighted_v1,global_thr,contrast,0.15291666666666667,0.30000000000000004,0.6845833333333333,0.425
laweighted_v1,grouped_thr,contrast,0.15583333333333332,0.30499999999999994,0.6816666666666666,0.395
baseline,global_thr,gain,0.12541666666666665,0.23499999999999993,0.7120833333333333,0.465
baseline,grouped_thr,gain,0.12666666666666665,0.24999999999999994,0.7108333333333333,0.45
laweighted_v1,global_thr,gain,0.08166666666666665,0.1449999999999999,0.7558333333333334,0.555
laweighted_v1,grouped_thr,gain,0.08750000000000001,0.14500000000000002,0.75,0.555
baseline,global_thr,noise,0.45875,0.795,0.37875,0.0
baseline,grouped_thr,noise,0.47375000000000006,0.8200000000000001,0.36375,0.0
laweighted_v1,global_thr,noise,0.58475,0.9049999999999999,0.25275,0.0
laweighted_v1,grouped_thr,noise,0.59075,0.9149999999999999,0.24675000000000002,0.0
laweighted_v2,global_thr,noise,0.36,0.5449999999999999,0.4775,0.155
laweighted_v2,grouped_thr,noise,0.3725,0.5750000000000001,0.46499999999999997,0.15
baseline,global_thr,occlusion,0.7345833333333333,0.8799999999999999,0.10291666666666667,0.0
baseline,grouped_thr,occlusion,0.73875,0.88,0.09875,0.0
laweighted_v1,global_thr,occlusion,0.7354999999999999,0.95,0.10200000000000001,0.0
laweighted_v1,grouped_thr,occlusion,0.7505,0.95,0.087,0.0
laweighted_v2,global_thr,occlusion,0.604375,0.7250000000000001,0.233125,0.02
laweighted_v2,grouped_thr,occlusion,0.613125,0.745,0.224375,0.005
