model,corruption,severity,strategy,target_val_cov,achieved_test_cov,all_dice,all_la,kept_dice,kept_la,kept_n,file
baseline,blur,1,top50,,0.5,0.80369098,0.7141385628140704,0.8455565199999999,0.7796317199999998,100,runs/robust_baseline/baseline_blur_s1.csv
baseline,blur,1,top80,,0.8,0.80369098,0.7141385628140704,0.8180562124999999,0.7250300188679245,160,runs/robust_baseline/baseline_blur_s1.csv
baseline,blur,2,top50,,0.5,0.697431815,0.5950845499999999,0.7492144400000003,0.6525382200000002,100,runs/robust_baseline/baseline_blur_s2.csv
baseline,blur,2,top80,,0.8,0.697431815,0.5950845499999999,0.7327573187499999,0.64363216875,160,runs/robust_baseline/baseline_blur_s2.csv
baseline,blur,3,top50,,0.5,0.379210785,0.308287215,0.40484326,0.39641712000000007,100,runs/robust_baseline/baseline_blur_s3.csv
baseline,blur,3,top80,,0.8,0.379210785,0.308287215,0.38942678124999996,0.345791875,160,runs/robust_baseline/baseline_blur_s3.csv
baseline,contrast,1,top50,,0.5,0.8178947700000001,0.7271523049999999,0.8643233499999999,0.81775355,100,runs/robust_baseline/baseline_contrast_s1.csv
baseline,contrast,1,top80,,0.8,0.8178947700000001,0.7271523049999999,0.83484098125,0.75445728125,160,runs/robust_baseline/baseline_contrast_s1.csv
baseline,contrast,2,top50,,0.5,0.8131018,0.720313455,0.86548988,0.82865369,100,runs/robust_baseline/baseline_contrast_s2.csv
baseline,contrast,2,top80,,0.8,0.8131018,0.720313455,0.8312400625,0.7510092812500001,160,runs/robust_baseline/baseline_contrast_s2.csv
baseline,contrast,3,top50,,0.5,0.80314839,0.7080154120603014,0.8512425600000002,0.80165492,100,runs/robust_baseline/baseline_contrast_s3.csv
baseline,contrast,3,top80,,0.8,0.80314839,0.7080154120603014,0.82539356875,0.7498141886792452,160,runs/robust_baseline/baseline_contrast_s3.csv
baseline,gain,1,top50,,0.5,0.8186700849999999,0.728142095,0.8638936100000001,0.8125333899999998,100,runs/robust_baseline/baseline_gain_s1.csv
baseline,gain,1,top80,,0.8,0.8186700849999999,0.728142095,0.8369696000000001,0.7596365687500001,160,runs/robust_baseline/baseline_gain_s1.csv
baseline,gain,2,top50,,0.5,0.8167012849999999,0.723900325,0.86731564,0.8274645700000001,100,runs/robust_baseline/baseline_gain_s2.csv
baseline,gain,2,top80,,0.8,0.8167012849999999,0.723900325,0.8338396999999999,0.7515123062499999,160,runs/robust_baseline/baseline_gain_s2.csv
baseline,gain,3,top50,,0.5,0.812127075,0.71573233,0.86360563,0.8220396099999999,100,runs/robust_baseline/baseline_gain_s3.csv
baseline,gain,3,top80,,0.8,0.812127075,0.71573233,0.8277892250000001,0.73930919375,160,runs/robust_baseline/baseline_gain_s3.csv
baseline,noise,1,top50,,0.5,0.814229785,0.7269006446700509,0.84997663,0.7846327676767677,100,runs/robust_baseline/baseline_noise_s1.csv
baseline,noise,1,top80,,0.8,0.814229785,0.7269006446700509,0.8296611500000001,0.7458952215189875,160,runs/robust_baseline/baseline_noise_s1.csv
baseline,noise,2,top50,,0.5,0.7747575050000001,0.6682669278350515,0.80690743,0.6889311237113401,100,runs/robust_baseline/baseline_noise_s2.csv
baseline,noise,2,top80,,0.8,0.7747575050000001,0.6682669278350515,0.7889586187500001,0.6765128831168832,160,runs/robust_baseline/baseline_noise_s2.csv
baseline,noise,3,top50,,0.5,0.66438113,0.48060312182741116,0.7002764300000002,0.4814743402061856,100,runs/robust_baseline/baseline_noise_s3.csv
baseline,noise,3,top80,,0.8,0.66438113,0.48060312182741116,0.68411750625,0.48554586624203827,160,runs/robust_baseline/baseline_noise_s3.csv
baseline,occlusion,1,top50,,0.5,0.6709507049999999,0.529227405,0.7330824,0.6222656,100,runs/robust_baseline/baseline_occlusion_s1.csv
baseline,occlusion,1,top80,,0.8,0.6709507049999999,0.529227405,0.69856426875,0.5624902375,160,runs/robust_baseline/baseline_occlusion_s1.csv
baseline,occlusion,2,top50,,0.5,0.586410425,0.41177723,0.6467986600000001,0.4861314,100,runs/robust_baseline/baseline_occlusion_s2.csv
baseline,occlusion,2,top80,,0.8,0.586410425,0.41177723,0.6074735875,0.42990885,160,runs/robust_baseline/baseline_occlusion_s2.csv
baseline,occlusion,3,top50,,0.5,0.53103772,0.34054165999999997,0.58128248,0.38992971,100,runs/robust_baseline/baseline_occlusion_s3.csv
baseline,occlusion,3,top80,,0.8,0.53103772,0.34054165999999997,0.54672186875,0.34690657500000005,160,runs/robust_baseline/baseline_occlusion_s3.csv
