model,corruption,severity,strategy,target_val_cov,achieved_test_cov,all_dice,all_la,kept_dice,kept_la,kept_n,file
baseline,blur,1,global_thr,0.7,0.39,0.80369098,0.7141385628140704,0.855393641025641,0.801111564102564,78,runs/robust/baseline_blur_s1.csv
baseline,blur,1,global_thr,0.8,0.6,0.80369098,0.7141385628140704,0.8378911583333334,0.7652690336134453,120,runs/robust/baseline_blur_s1.csv
baseline,blur,1,global_thr,0.9,0.775,0.80369098,0.7141385628140704,0.8187856322580644,0.725582564935065,155,runs/robust/baseline_blur_s1.csv
baseline,blur,1,global_thr,0.95,0.86,0.80369098,0.7141385628140704,0.816330034883721,0.7307229766081871,172,runs/robust/baseline_blur_s1.csv
baseline,blur,2,global_thr,0.7,0.0,0.697431815,0.5950845499999999,,,0,runs/robust/baseline_blur_s2.csv
baseline,blur,2,global_thr,0.8,0.03,0.697431815,0.5950845499999999,0.7937386666666666,0.6532665,6,runs/robust/baseline_blur_s2.csv
baseline,blur,2,global_thr,0.9,0.06,0.697431815,0.5950845499999999,0.7713623333333333,0.59804125,12,runs/robust/baseline_blur_s2.csv
baseline,blur,2,global_thr,0.95,0.085,0.697431815,0.5950845499999999,0.7647585294117647,0.5871348235294117,17,runs/robust/baseline_blur_s2.csv
baseline,blur,3,global_thr,0.7,0.0,0.379210785,0.308287215,,,0,runs/robust/baseline_blur_s3.csv
baseline,blur,3,global_thr,0.8,0.0,0.379210785,0.308287215,,,0,runs/robust/baseline_blur_s3.csv
baseline,blur,3,global_thr,0.9,0.0,0.379210785,0.308287215,,,0,runs/robust/baseline_blur_s3.csv
baseline,blur,3,global_thr,0.95,0.0,0.379210785,0.308287215,,,0,runs/robust/baseline_blur_s3.csv
baseline,contrast,1,global_thr,0.7,0.515,0.8178947700000001,0.7271523049999999,0.8641709417475728,0.8179382621359224,103,runs/robust/baseline_contrast_s1.csv
baseline,contrast,1,global_thr,0.8,0.69,0.8178947700000001,0.7271523049999999,0.8492732971014493,0.7860222536231883,138,runs/robust/baseline_contrast_s1.csv
baseline,contrast,1,global_thr,0.9,0.815,0.8178947700000001,0.7271523049999999,0.835701,0.7572984662576687,163,runs/robust/baseline_contrast_s1.csv
baseline,contrast,1,global_thr,0.95,0.89,0.8178947700000001,0.7271523049999999,0.8306224269662922,0.745159370786517,178,runs/robust/baseline_contrast_s1.csv
baseline,contrast,2,global_thr,0.7,0.445,0.8131018,0.720313455,0.8720248764044943,0.8392215842696629,89,runs/robust/baseline_contrast_s2.csv
baseline,contrast,2,global_thr,0.8,0.63,0.8131018,0.720313455,0.8510238571428571,0.79498923015873,126,runs/robust/baseline_contrast_s2.csv
baseline,contrast,2,global_thr,0.9,0.765,0.8131018,0.720313455,0.8362207124183008,0.7622683464052288,153,runs/robust/baseline_contrast_s2.csv
baseline,contrast,2,global_thr,0.95,0.83,0.8131018,0.720313455,0.8293436144578313,0.7450746024096385,166,runs/robust/baseline_contrast_s2.csv
baseline,contrast,3,global_thr,0.7,0.315,0.80314839,0.7080154120603014,0.8788726190476189,0.8618671428571428,63,runs/robust/baseline_contrast_s3.csv
baseline,contrast,3,global_thr,0.8,0.505,0.80314839,0.7080154120603014,0.8518351782178218,0.803077217821782,101,runs/robust/baseline_contrast_s3.csv
baseline,contrast,3,global_thr,0.9,0.67,0.80314839,0.7080154120603014,0.835632776119403,0.769802708955224,134,runs/robust/baseline_contrast_s3.csv
baseline,contrast,3,global_thr,0.95,0.745,0.80314839,0.7080154120603014,0.829397134228188,0.7546848513513513,149,runs/robust/baseline_contrast_s3.csv
baseline,gain,1,global_thr,0.7,0.55,0.8186700849999999,0.728142095,0.8582339818181818,0.8024764454545456,110,runs/robust/baseline_gain_s1.csv
baseline,gain,1,global_thr,0.8,0.715,0.8186700849999999,0.728142095,0.8461435594405595,0.779065027972028,143,runs/robust/baseline_gain_s1.csv
baseline,gain,1,global_thr,0.9,0.835,0.8186700849999999,0.728142095,0.8319113652694613,0.7445136706586826,167,runs/robust/baseline_gain_s1.csv
baseline,gain,1,global_thr,0.95,0.9,0.8186700849999999,0.728142095,0.8304407055555556,0.7444061666666667,180,runs/robust/baseline_gain_s1.csv
baseline,gain,2,global_thr,0.7,0.515,0.8167012849999999,0.723900325,0.8644206407766991,0.8210869126213594,103,runs/robust/baseline_gain_s2.csv
baseline,gain,2,global_thr,0.8,0.685,0.8167012849999999,0.723900325,0.845565394160584,0.7755541897810219,137,runs/robust/baseline_gain_s2.csv
baseline,gain,2,global_thr,0.9,0.795,0.8167012849999999,0.723900325,0.8335224025157234,0.7506903836477987,159,runs/robust/baseline_gain_s2.csv
baseline,gain,2,global_thr,0.95,0.87,0.8167012849999999,0.723900325,0.8294269540229885,0.7418676666666666,174,runs/robust/baseline_gain_s2.csv
baseline,gain,3,global_thr,0.7,0.465,0.812127075,0.71573233,0.8642275268817206,0.8174107096774195,93,runs/robust/baseline_gain_s3.csv
baseline,gain,3,global_thr,0.8,0.635,0.812127075,0.71573233,0.8469766141732284,0.780862598425197,127,runs/robust/baseline_gain_s3.csv
baseline,gain,3,global_thr,0.9,0.75,0.812127075,0.71573233,0.8374476933333335,0.76455428,150,runs/robust/baseline_gain_s3.csv
baseline,gain,3,global_thr,0.95,0.83,0.812127075,0.71573233,0.8239454578313253,0.7284340301204819,166,runs/robust/baseline_gain_s3.csv
baseline,noise,1,global_thr,0.7,0.455,0.814229785,0.7269006446700509,0.8569303846153848,0.8012746555555557,91,runs/robust/baseline_noise_s1.csv
baseline,noise,1,global_thr,0.8,0.615,0.814229785,0.7269006446700509,0.8477217235772359,0.7830294214876033,123,runs/robust/baseline_noise_s1.csv
baseline,noise,1,global_thr,0.9,0.745,0.814229785,0.7269006446700509,0.8333605704697987,0.754299782312925,149,runs/robust/baseline_noise_s1.csv
baseline,noise,1,global_thr,0.95,0.865,0.814229785,0.7269006446700509,0.8275098323699424,0.7427631,173,runs/robust/baseline_noise_s1.csv
baseline,noise,2,global_thr,0.7,0.145,0.7747575050000001,0.6682669278350515,0.8287443103448277,0.7130219655172415,29,runs/robust/baseline_noise_s2.csv
baseline,noise,2,global_thr,0.8,0.295,0.7747575050000001,0.6682669278350515,0.8194353559322033,0.6998879473684211,59,runs/robust/baseline_noise_s2.csv
baseline,noise,2,global_thr,0.9,0.505,0.7747575050000001,0.6682669278350515,0.8067397722772277,0.6891658265306123,101,runs/robust/baseline_noise_s2.csv
baseline,noise,2,global_thr,0.95,0.59,0.7747575050000001,0.6682669278350515,0.7955109830508476,0.664952452173913,118,runs/robust/baseline_noise_s2.csv
baseline,noise,3,global_thr,0.7,0.0,0.66438113,0.48060312182741116,,,0,runs/robust/baseline_noise_s3.csv
baseline,noise,3,global_thr,0.8,0.03,0.66438113,0.48060312182741116,0.7158931666666667,0.4726261666666667,6,runs/robust/baseline_noise_s3.csv
baseline,noise,3,global_thr,0.9,0.105,0.66438113,0.48060312182741116,0.7202125238095237,0.43352263157894744,21,runs/robust/baseline_noise_s3.csv
baseline,noise,3,global_thr,0.95,0.195,0.66438113,0.48060312182741116,0.7277626153846154,0.493906,39,runs/robust/baseline_noise_s3.csv
baseline,occlusion,1,global_thr,0.7,0.04,0.6709507049999999,0.529227405,0.79829575,0.6928976250000001,8,runs/robust/baseline_occlusion_s1.csv
baseline,occlusion,1,global_thr,0.8,0.11,0.6709507049999999,0.529227405,0.7823144545454546,0.6846614999999999,22,runs/robust/baseline_occlusion_s1.csv
baseline,occlusion,1,global_thr,0.9,0.265,0.6709507049999999,0.529227405,0.7606398113207548,0.6598879999999999,53,runs/robust/baseline_occlusion_s1.csv
baseline,occlusion,1,global_thr,0.95,0.395,0.6709507049999999,0.529227405,0.7488586835443038,0.6466151012658228,79,runs/robust/baseline_occlusion_s1.csv
baseline,occlusion,2,global_thr,0.7,0.01,0.586410425,0.41177723,0.669468,0.3866355,2,runs/robust/baseline_occlusion_s2.csv
baseline,occlusion,2,global_thr,0.8,0.03,0.586410425,0.41177723,0.7195320000000001,0.5820234999999999,6,runs/robust/baseline_occlusion_s2.csv
baseline,occlusion,2,global_thr,0.9,0.095,0.586410425,0.41177723,0.7186171052631578,0.6131195263157895,19,runs/robust/baseline_occlusion_s2.csv
baseline,occlusion,2,global_thr,0.95,0.19,0.586410425,0.41177723,0.6685646578947368,0.5056921578947369,38,runs/robust/baseline_occlusion_s2.csv
baseline,occlusion,3,global_thr,0.7,0.0,0.53103772,0.34054165999999997,,,0,runs/robust/baseline_occlusion_s3.csv
baseline,occlusion,3,global_thr,0.8,0.0,0.53103772,0.34054165999999997,,,0,runs/robust/baseline_occlusion_s3.csv
baseline,occlusion,3,global_thr,0.9,0.03,0.53103772,0.34054165999999997,0.7105994999999999,0.6601046666666667,6,runs/robust/baseline_occlusion_s3.csv
baseline,occlusion,3,global_thr,0.95,0.07,0.53103772,0.34054165999999997,0.6774447142857143,0.5699881428571428,14,runs/robust/baseline_occlusion_s3.csv
