model,corruption,severity,strategy,target_val_cov,achieved_test_cov,all_dice,all_la,kept_dice,kept_la,kept_n,file
baseline,blur,1,grouped_thr,0.7,0.435,0.80369098,0.7141385628140704,0.8522154252873563,0.7954528965517241,87,runs/robust/baseline_blur_s1.csv
baseline,blur,1,grouped_thr,0.8,0.57,0.80369098,0.7141385628140704,0.8405645350877193,0.7783073070175439,114,runs/robust/baseline_blur_s1.csv
baseline,blur,1,grouped_thr,0.9,0.735,0.80369098,0.7141385628140704,0.8298833401360545,0.7628715136986302,147,runs/robust/baseline_blur_s1.csv
baseline,blur,1,grouped_thr,0.95,0.88,0.80369098,0.7141385628140704,0.8195666193181818,0.7444595828571429,176,runs/robust/baseline_blur_s1.csv
baseline,blur,2,grouped_thr,0.7,0.0,0.697431815,0.5950845499999999,,,0,runs/robust/baseline_blur_s2.csv
baseline,blur,2,grouped_thr,0.8,0.015,0.697431815,0.5950845499999999,0.830603,0.7609373333333332,3,runs/robust/baseline_blur_s2.csv
baseline,blur,2,grouped_thr,0.9,0.03,0.697431815,0.5950845499999999,0.7937386666666666,0.6532665,6,runs/robust/baseline_blur_s2.csv
baseline,blur,2,grouped_thr,0.95,0.09,0.697431815,0.5950845499999999,0.7752710555555555,0.6397493333333333,18,runs/robust/baseline_blur_s2.csv
baseline,blur,3,grouped_thr,0.7,0.0,0.379210785,0.308287215,,,0,runs/robust/baseline_blur_s3.csv
baseline,blur,3,grouped_thr,0.8,0.0,0.379210785,0.308287215,,,0,runs/robust/baseline_blur_s3.csv
baseline,blur,3,grouped_thr,0.9,0.0,0.379210785,0.308287215,,,0,runs/robust/baseline_blur_s3.csv
baseline,blur,3,grouped_thr,0.95,0.0,0.379210785,0.308287215,,,0,runs/robust/baseline_blur_s3.csv
baseline,contrast,1,grouped_thr,0.7,0.54,0.8178947700000001,0.7271523049999999,0.8727844907407408,0.8472873055555554,108,runs/robust/baseline_contrast_s1.csv
baseline,contrast,1,grouped_thr,0.8,0.68,0.8178947700000001,0.7271523049999999,0.8564038970588235,0.8108758308823529,136,runs/robust/baseline_contrast_s1.csv
baseline,contrast,1,grouped_thr,0.9,0.8,0.8178947700000001,0.7271523049999999,0.84646643125,0.7870465687499999,160,runs/robust/baseline_contrast_s1.csv
